genome,location,length
V1DD.contigs.10kb_virus_k127_1005994 flag=0 multi=23.5073 len=71244.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1005994 flag=0 multi=23.5073 len=71244.fasta,71244
V1DD.contigs.10kb_virus_k127_1008287 flag=3 multi=64.0000 len=276316.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1008287 flag=3 multi=64.0000 len=276316.fasta,276316
V1DD.contigs.10kb_virus_k127_1030011 flag=0 multi=9.9832 len=56828.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1030011 flag=0 multi=9.9832 len=56828.fasta,56828
V1DD.contigs.10kb_virus_k127_1034245 flag=0 multi=10.9982 len=60578.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1034245 flag=0 multi=10.9982 len=60578.fasta,60578
V1DD.contigs.10kb_virus_k127_103743 flag=1 multi=10.0000 len=53081.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_103743 flag=1 multi=10.0000 len=53081.fasta,53081
V1DD.contigs.10kb_virus_k127_1043516 flag=0 multi=10.9980 len=50373.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1043516 flag=0 multi=10.9980 len=50373.fasta,50373
V1DD.contigs.10kb_virus_k127_1046302 flag=1 multi=9.0000 len=84099.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1046302 flag=1 multi=9.0000 len=84099.fasta,84099
V1DD.contigs.10kb_virus_k127_1069864 flag=1 multi=17.0707 len=131774.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1069864 flag=1 multi=17.0707 len=131774.fasta,131774
V1DD.contigs.10kb_virus_k127_1072766 flag=0 multi=15.9972 len=53619.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1072766 flag=0 multi=15.9972 len=53619.fasta,53619
V1DD.contigs.10kb_virus_k127_1073067 flag=0 multi=12.9188 len=56284.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1073067 flag=0 multi=12.9188 len=56284.fasta,56284
V1DD.contigs.10kb_virus_k127_1073991 flag=1 multi=9.0000 len=58486.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1073991 flag=1 multi=9.0000 len=58486.fasta,58486
V1DD.contigs.10kb_virus_k127_1075421 flag=0 multi=25.3108 len=86252.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1075421 flag=0 multi=25.3108 len=86252.fasta,86252
V1DD.contigs.10kb_virus_k127_107839 flag=3 multi=13.8668 len=80741.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_107839 flag=3 multi=13.8668 len=80741.fasta,80741
V1DD.contigs.10kb_virus_k127_1079800 flag=0 multi=7.9459 len=60746.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1079800 flag=0 multi=7.9459 len=60746.fasta,60746
V1DD.contigs.10kb_virus_k127_1094042 flag=1 multi=27.0000 len=51291.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1094042 flag=1 multi=27.0000 len=51291.fasta,51291
V1DD.contigs.10kb_virus_k127_1097423 flag=0 multi=21.0000 len=81551.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1097423 flag=0 multi=21.0000 len=81551.fasta,81551
V1DD.contigs.10kb_virus_k127_1116928 flag=1 multi=11.9993 len=65198.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1116928 flag=1 multi=11.9993 len=65198.fasta,65198
V1DD.contigs.10kb_virus_k127_1134486 flag=0 multi=15.9984 len=96396.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1134486 flag=0 multi=15.9984 len=96396.fasta,96396
V1DD.contigs.10kb_virus_k127_113556 flag=1 multi=9.0000 len=63896.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_113556 flag=1 multi=9.0000 len=63896.fasta,63896
V1DD.contigs.10kb_virus_k127_1151906|provirus_2_61790.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1151906|provirus_2_61790.fasta,61789
V1DD.contigs.10kb_virus_k127_1152666|provirus_3_50397.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1152666|provirus_3_50397.fasta,50395
V1DD.contigs.10kb_virus_k127_1154485 flag=0 multi=18.5767 len=65758.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1154485 flag=0 multi=18.5767 len=65758.fasta,65758
V1DD.contigs.10kb_virus_k127_1164543 flag=1 multi=17.0000 len=57199.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1164543 flag=1 multi=17.0000 len=57199.fasta,57199
V1DD.contigs.10kb_virus_k127_1173323 flag=0 multi=31.8271 len=56866.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1173323 flag=0 multi=31.8271 len=56866.fasta,56866
V1DD.contigs.10kb_virus_k127_1174513 flag=1 multi=8.0000 len=59238.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1174513 flag=1 multi=8.0000 len=59238.fasta,59238
V1DD.contigs.10kb_virus_k127_1177470 flag=1 multi=89.0000 len=235423.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1177470 flag=1 multi=89.0000 len=235423.fasta,235423
V1DD.contigs.10kb_virus_k127_1188085 flag=0 multi=18.0000 len=57379.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1188085 flag=0 multi=18.0000 len=57379.fasta,57379
V1DD.contigs.10kb_virus_k127_1189492 flag=0 multi=138.0000 len=52904.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1189492 flag=0 multi=138.0000 len=52904.fasta,52904
V1DD.contigs.10kb_virus_k127_120680 flag=0 multi=38.1380 len=125463.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_120680 flag=0 multi=38.1380 len=125463.fasta,125463
V1DD.contigs.10kb_virus_k127_1214683 flag=1 multi=20.0000 len=52045.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1214683 flag=1 multi=20.0000 len=52045.fasta,52045
V1DD.contigs.10kb_virus_k127_1218406 flag=1 multi=14.0000 len=54159.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1218406 flag=1 multi=14.0000 len=54159.fasta,54159
V1DD.contigs.10kb_virus_k127_1221462 flag=3 multi=14.9954 len=57329.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221462 flag=3 multi=14.9954 len=57329.fasta,57329
V1DD.contigs.10kb_virus_k127_1221464 flag=3 multi=27.0001 len=249506.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221464 flag=3 multi=27.0001 len=249506.fasta,249506
